gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,internet_service_Fiber optic,internet_service_No,contract_One year,contract_Two year,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,churn_reason_Attitude of support person,churn_reason_Competitor had better devices,churn_reason_Competitor made better offer,churn_reason_Competitor offered higher download speeds,churn_reason_Competitor offered more data,churn_reason_Deceased,churn_reason_Don't know,churn_reason_Extra data charges,churn_reason_Lack of affordable download/upload speed,churn_reason_Lack of self-service on Website,churn_reason_Limited range of services,churn_reason_Long distance charges,churn_reason_Moved,churn_reason_Network reliability,churn_reason_Poor expertise of online support,churn_reason_Poor expertise of phone support,churn_reason_Price too high,churn_reason_Product dissatisfaction,churn_reason_Service dissatisfaction
1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,1,86,3239,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,1,67,2701,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,1,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,1,86,5372,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,1,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,1,84,5003,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,0,0,1,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,1,89,5340,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,1,78,5925,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,1,100,5433,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,1,92,4832,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,1,77,5789,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,0,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,1,97,2915,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,1,74,3022,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,1,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,1,66,2454,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,1,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,1,65,2941,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,1,70,5674,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,1,90,5586,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,1,82,2966,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,1,1,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,1,69,5302,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0,1,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,1,81,3179,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,1,96,5571,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,1,87,2483,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,1,70,3457,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,1,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,1,86,5806,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,1,66,2604,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,1,1,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,1,88,5337,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,1,86,5034,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,0,1,1,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,1,75,5154,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,1,1,1,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,1,67,2793,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,1,87,5998,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
